source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[material type]	characteristics[sample type]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[sampling site]	characteristics[ancestry category]	characteristics[enrichment process]	characteristics[treatment]	characteristics[compound]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[enrichment process]
JJN3_Control_Prot_r2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone marrow;AC=UBERON:0002371	NT=plasma cell;AC=CL:0000786	NT=plasma cell myeloma;AC=MONDO:0009693	JJN-3	CVCL_2078	JJN-3	cell line	NT=study sample;AC=PRIDE:0001013	57Y	female	NT=adult;AC=EFO:0001272	NT=bone marrow;AC=UBERON:0002371	NT=European ancestry;AC=HANCESTRO:0005	not applicable	untreated	not applicable	not applicable	2	JJN3_Control_Prot_5	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE;36 NCE	10 ppm	0.02 Da	1	1	JJN3_Control_Prot_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	untreated	not applicable
JJN3_Control_Prot_r3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone marrow;AC=UBERON:0002371	NT=plasma cell;AC=CL:0000786	NT=plasma cell myeloma;AC=MONDO:0009693	JJN-3	CVCL_2078	JJN-3	cell line	NT=study sample;AC=PRIDE:0001013	57Y	female	NT=adult;AC=EFO:0001272	NT=bone marrow;AC=UBERON:0002371	NT=European ancestry;AC=HANCESTRO:0005	not applicable	untreated	not applicable	not applicable	3	JJN3_Control_Prot_9	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE;36 NCE	10 ppm	0.02 Da	1	1	JJN3_Control_Prot_9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	untreated	not applicable
JJN3_Vpr8_24h_Prot_r1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone marrow;AC=UBERON:0002371	NT=plasma cell;AC=CL:0000786	NT=plasma cell myeloma;AC=MONDO:0009693	JJN-3	CVCL_2078	JJN-3	cell line	NT=study sample;AC=PRIDE:0001013	57Y	female	NT=adult;AC=EFO:0001272	NT=bone marrow;AC=UBERON:0002371	NT=European ancestry;AC=HANCESTRO:0005	not applicable	Vpr8	not available	24 hour	1	JJN3_Vp8_24h_Prot_12	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE;36 NCE	10 ppm	0.02 Da	1	1	JJN3_Vp8_24h_Prot_12.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	Vpr8	not applicable
JJN3_Vpr8_24h_Prot_r2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone marrow;AC=UBERON:0002371	NT=plasma cell;AC=CL:0000786	NT=plasma cell myeloma;AC=MONDO:0009693	JJN-3	CVCL_2078	JJN-3	cell line	NT=study sample;AC=PRIDE:0001013	57Y	female	NT=adult;AC=EFO:0001272	NT=bone marrow;AC=UBERON:0002371	NT=European ancestry;AC=HANCESTRO:0005	not applicable	Vpr8	not available	24 hour	2	JJN3_Vp8_24h_Prot_4	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE;36 NCE	10 ppm	0.02 Da	1	1	JJN3_Vp8_24h_Prot_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	Vpr8	not applicable
JJN3_Vpr8_24h_Prot_r3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone marrow;AC=UBERON:0002371	NT=plasma cell;AC=CL:0000786	NT=plasma cell myeloma;AC=MONDO:0009693	JJN-3	CVCL_2078	JJN-3	cell line	NT=study sample;AC=PRIDE:0001013	57Y	female	NT=adult;AC=EFO:0001272	NT=bone marrow;AC=UBERON:0002371	NT=European ancestry;AC=HANCESTRO:0005	not applicable	Vpr8	not available	24 hour	3	JJN3_Vp8_24h_Prot_8	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE;36 NCE	10 ppm	0.02 Da	1	1	JJN3_Vp8_24h_Prot_8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	Vpr8	not applicable
JJN3_Vpr8_1h_Phos_r1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone marrow;AC=UBERON:0002371	NT=plasma cell;AC=CL:0000786	NT=plasma cell myeloma;AC=MONDO:0009693	JJN-3	CVCL_2078	JJN-3	cell line	NT=study sample;AC=PRIDE:0001013	57Y	female	NT=adult;AC=EFO:0001272	NT=bone marrow;AC=UBERON:0002371	NT=European ancestry;AC=HANCESTRO:0005	NT=enrichment of phosphorylated protein;AC=EFO:0010806	Vpr8	not available	1 hour	1	JJN3_Vpr8_1h_Phos_1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE;36 NCE	10 ppm	0.02 Da	1	1	JJN3_Vpr8_1h_Phos_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	Vpr8	NT=enrichment of phosphorylated protein;AC=EFO:0010806
JJN3_Vpr8_1h_Phos_r2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone marrow;AC=UBERON:0002371	NT=plasma cell;AC=CL:0000786	NT=plasma cell myeloma;AC=MONDO:0009693	JJN-3	CVCL_2078	JJN-3	cell line	NT=study sample;AC=PRIDE:0001013	57Y	female	NT=adult;AC=EFO:0001272	NT=bone marrow;AC=UBERON:0002371	NT=European ancestry;AC=HANCESTRO:0005	NT=enrichment of phosphorylated protein;AC=EFO:0010806	Vpr8	not available	1 hour	2	JJN3_Vpr8_1h_Phos_2	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE;36 NCE	10 ppm	0.02 Da	1	1	JJN3_Vpr8_1h_Phos_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	Vpr8	NT=enrichment of phosphorylated protein;AC=EFO:0010806
JJN3_Vpr8_1h_Phos_r3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone marrow;AC=UBERON:0002371	NT=plasma cell;AC=CL:0000786	NT=plasma cell myeloma;AC=MONDO:0009693	JJN-3	CVCL_2078	JJN-3	cell line	NT=study sample;AC=PRIDE:0001013	57Y	female	NT=adult;AC=EFO:0001272	NT=bone marrow;AC=UBERON:0002371	NT=European ancestry;AC=HANCESTRO:0005	NT=enrichment of phosphorylated protein;AC=EFO:0010806	Vpr8	not available	1 hour	3	JJN3_Vpr8_1h_Phos_3	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE;36 NCE	10 ppm	0.02 Da	1	1	JJN3_Vpr8_1h_Phos_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	Vpr8	NT=enrichment of phosphorylated protein;AC=EFO:0010806
JJN3_Vpr8_1h_Prot_r1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone marrow;AC=UBERON:0002371	NT=plasma cell;AC=CL:0000786	NT=plasma cell myeloma;AC=MONDO:0009693	JJN-3	CVCL_2078	JJN-3	cell line	NT=study sample;AC=PRIDE:0001013	57Y	female	NT=adult;AC=EFO:0001272	NT=bone marrow;AC=UBERON:0002371	NT=European ancestry;AC=HANCESTRO:0005	not applicable	Vpr8	not available	1 hour	1	JJN3_Vpr8_1h_Prot_11	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE;36 NCE	10 ppm	0.02 Da	1	1	JJN3_Vpr8_1h_Prot_11.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	Vpr8	not applicable
JJN3_Vpr8_1h_Prot_r2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone marrow;AC=UBERON:0002371	NT=plasma cell;AC=CL:0000786	NT=plasma cell myeloma;AC=MONDO:0009693	JJN-3	CVCL_2078	JJN-3	cell line	NT=study sample;AC=PRIDE:0001013	57Y	female	NT=adult;AC=EFO:0001272	NT=bone marrow;AC=UBERON:0002371	NT=European ancestry;AC=HANCESTRO:0005	not applicable	Vpr8	not available	1 hour	2	JJN3_Vpr8_1h_Prot_3	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE;36 NCE	10 ppm	0.02 Da	1	1	JJN3_Vpr8_1h_Prot_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	Vpr8	not applicable
JJN3_Vpr8_1h_Prot_r3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone marrow;AC=UBERON:0002371	NT=plasma cell;AC=CL:0000786	NT=plasma cell myeloma;AC=MONDO:0009693	JJN-3	CVCL_2078	JJN-3	cell line	NT=study sample;AC=PRIDE:0001013	57Y	female	NT=adult;AC=EFO:0001272	NT=bone marrow;AC=UBERON:0002371	NT=European ancestry;AC=HANCESTRO:0005	not applicable	Vpr8	not available	1 hour	3	JJN3_Vpr8_1h_Prot_7	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE;36 NCE	10 ppm	0.02 Da	1	1	JJN3_Vpr8_1h_Prot_7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	Vpr8	not applicable
JJN3_Vpr8_24h_Phos_r1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone marrow;AC=UBERON:0002371	NT=plasma cell;AC=CL:0000786	NT=plasma cell myeloma;AC=MONDO:0009693	JJN-3	CVCL_2078	JJN-3	cell line	NT=study sample;AC=PRIDE:0001013	57Y	female	NT=adult;AC=EFO:0001272	NT=bone marrow;AC=UBERON:0002371	NT=European ancestry;AC=HANCESTRO:0005	NT=enrichment of phosphorylated protein;AC=EFO:0010806	Vpr8	not available	24 hour	1	JJN3_Vpr8_24h_Phos_1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE;36 NCE	10 ppm	0.02 Da	1	1	JJN3_Vpr8_24h_Phos_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	Vpr8	NT=enrichment of phosphorylated protein;AC=EFO:0010806
JJN3_Vpr8_24h_Phos_r2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone marrow;AC=UBERON:0002371	NT=plasma cell;AC=CL:0000786	NT=plasma cell myeloma;AC=MONDO:0009693	JJN-3	CVCL_2078	JJN-3	cell line	NT=study sample;AC=PRIDE:0001013	57Y	female	NT=adult;AC=EFO:0001272	NT=bone marrow;AC=UBERON:0002371	NT=European ancestry;AC=HANCESTRO:0005	NT=enrichment of phosphorylated protein;AC=EFO:0010806	Vpr8	not available	24 hour	2	JJN3_Vpr8_24h_Phos_2	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE;36 NCE	10 ppm	0.02 Da	1	1	JJN3_Vpr8_24h_Phos_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	Vpr8	NT=enrichment of phosphorylated protein;AC=EFO:0010806
JJN3_Vpr8_24h_Phos_r3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone marrow;AC=UBERON:0002371	NT=plasma cell;AC=CL:0000786	NT=plasma cell myeloma;AC=MONDO:0009693	JJN-3	CVCL_2078	JJN-3	cell line	NT=study sample;AC=PRIDE:0001013	57Y	female	NT=adult;AC=EFO:0001272	NT=bone marrow;AC=UBERON:0002371	NT=European ancestry;AC=HANCESTRO:0005	NT=enrichment of phosphorylated protein;AC=EFO:0010806	Vpr8	not available	24 hour	3	JJN3_Vpr8_24h_Phos_3	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE;36 NCE	10 ppm	0.02 Da	1	1	JJN3_Vpr8_24h_Phos_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	Vpr8	NT=enrichment of phosphorylated protein;AC=EFO:0010806
